Date mean in BP in years before 1950 CE [OxCal mu for a direct radiocarbon date, and average of range for a contextual date]	Y haplogroup (manual curation in ISOGG format)
616	n/a (female)
616	n/a (female)
616	n/a (female)
616	..
705	n/a (female)
475	..
496	n/a (female)
1565	n/a (female)
600	n/a (female)
525	n/a (female)
600	n/a (female)
475	..
525	..
525	n/a (female)
700	n/a (female)
700	n/a (female)
365	..
600	n/a (female)
525	..
425	n/a (female)
475	n/a (female)
525	..
708	..
475	..
475	n/a (female)
525	..
447	..
525	..
475	..
525	n/a (female)
525	..
525	n/a (female)
656	n/a (female)
531	..
475	..
517	..
656	..
475	n/a (female)
475	..
475	..
525	n/a (female)
525	..
475	n/a (female)
525	n/a (female)
508	n/a (female)
475	..
525	..
525	..
700	..
525	n/a (female)
475	n/a (female)
475	..
525	..
475	n/a (female)
525	..
475	n/a (female)
475	n/a (female)
704	..
475	..
383	n/a (female)
475	n/a (female)
475	..
475	..
525	n/a (female)
525	n/a (female)
525	..
525	n/a (female)
525	..
475	..
601	n/a (female)
520	n/a (female)
600	..
500	..
478	..
525	n/a (female)
525	n/a (female)
600	n/a (female)
475	n/a (female)
602	n/a (female)
950	n/a (female)
950	..
1150	n/a (female)
1200	..
1200	..
1225	..
1350	..
1700	..
1325	..
1200	n/a (female)
1350	n/a (female)
1325	n/a (female)
1350	..
1225	..
1225	n/a (female)
1250	..
1175	..
1325	..
1325	..
1250	n/a (female)
1250	..
1250	n/a (female)
1313	n/a (female)
1325	n/a (female)
1360	n/a (female)
1348	n/a (female)
1200	n/a (female)
1200	..
1566	..
1442	..
1442	..
1442	..
1442	..
1442	..
1442	n/a (female)
1442	n/a (female)
1442	n/a (female)
1442	n/a (female)
1442	..
1442	..
1442	n/a (female)
1442	..
1442	n/a (female)
1442	n/a  (sex unknown)
1456	n/a (female)
1442	n/a (female)
1442	n/a (female)
1430	..
1442	n/a (female)
1442	..
1393	..
1442	..
1467	..
1442	n/a (female)
1442	..
1442	..
1442	n/a (female)
1442	..
1462	..
1442	..
1442	..
1442	..
1442	..
1442	..
1442	..
703	n/a (female)
236	..
603	R1b1a1a2a1a2c1a1 
825	..
1000	n/a (female)
1025	R1a1a1b1a3 
1015	n/a (female)
1015	R1a1a1b1a3b 
1015	R1a1a1b1a3a1 
1015	I1a1b3b 
950	..
1015	..
1015	..
1015	n/a (female)
1000	..
1015	..
1025	..
1025	..
1025	n/a (female)
1025	..
1000	..
1015	..
854	..
1000	n/a (female)
1000	..
1000	..
1015	n/a  (sex unknown)
950	I1 
850	n/a (female)
850	I1a1b1a1
850	R1b1a1b1a1a2d1a1
850	R1b1a1b1a1a1 
850	n/a (female)
850	R2a2b1
1000	R1a1a1b1a3a2b
1000	n/a (female)
1000	R1a1a1b1a3a1
850	R1a1a1b1a3a2b
850	n/a (female)
850	n/a (female)
850	n/a (female)
850	n/a (female)
850	R1b1a1b1a1a2c1a1a1a1a1a
850	I1a1b1a4a2
850	n/a (female)
1011	..
1099	n/a (female)
1099	n/a (female)
1099	..
1109	n/a (female)
1107	n/a (female)
1129	..
1101	n/a (female)
1118	..
1166	..
1118	..
1016	..
1070	..
1109	n/a (female)
1152	n/a (female)
1007	..
1118	..
1228	..
1125	n/a (female)
1178	n/a (female)
1109	..
1015	n/a (female)
1023	..
143	..
128	n/a (female)
124	..
126	n/a (female)
131	..
128	..
129	..
193	n/a (female)
127	..
188	n/a (female)
128	..
131	..
150	..
143	n/a (female)
199	..
90	..
1827	n/a (female)
389	n/a (female)
950	n/a (female)
950	R1b1a2a1a2
950	n/a (female)
950	R1b1a2a1a2
950	n/a (female)
950	R1b1a2
950	n/a (female)
950	R1b1a2a1a2c1a1a1a1a1
950	R1b1a2a1a2c
950	n/a (female)
950	R1b1a2a1a2
950	R1b1a2a1a2c
950	R1b1a2a1a2c1b2b1
950	R
950	I2a1b
950	..
950	R1b1a2a1a2c1f2c1
950	n/a (female)
950	R1b1a2a1a2c1
950	n/a (female)
950	R1b1a2a1a2
950	R1b1a2a1a2c1f2c2
950	R1b1a2a1a2c1b2c1a1
950	R1b1a2a1a2a1a2
950	n/a (female)
950	n/a (female)
950	R1b1a2a1a2
950	R1b1a2a1a2c1a1a1a1a
950	R1b1a2a1a2c1
950	R1b1a2a1a2
950	R1b1a2a1a2c1a1a1a1a1
950	R1b1a2a1a
950	R1b1a2a1a2c1a1a1a1a1a
