Date mean in BP in years before 1950 CE [OxCal mu for a direct radiocarbon date, and average of range for a contextual date]	Full Date One of two formats. (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age BP, Lab number) e.g. 2624-2350 calBCE (3990±40 BP, Ua-35016). (Format 2) Archaeological context range, e.g. 2500-1700 BCE	Y haplogroup (manual curation in ISOGG format)
1209	663-872 calCE (1269±34 BP, UBA-31921)	n/a (female)
1467	420-544 calCE (1593±27 BP, OxA-16576)	n/a (female)
1588	239-535 calCE (1694±56 BP, UBA-31920)	n/a (female)
1087	771-987 calCE (1172±39 BP, UBA-31916)	..
796	1040-1257 calCE (881±42 BP, UBA-31915)	n/a (female)
1762	78-325 calCE (1852±44 BP, UBA-31918)	n/a (female)
919	990-1150 calCE (1013±26 BP, OxA-16578)	n/a (female)
737	1165-1264 calCE (840±26 BP, OxA-16579)	n/a (female)
1478	410-539 calCE (1620±26 BP, OxA-16577)	n/a (female)
950	700-1300 CE	n/a (female)
424	1440-1634 calCE (387±38 BP, UBA-31907)	..
400	1400-1700 CE	n/a (female)
950	700-1300 CE	n/a (female)
968	890-1039 calCE (1055±38 BP, UBA-31908)	n/a (female)
799	1039-1255 calCE (884±41 BP, UBA-31909)	n/a (female)
1011	775-1025 calCE (1101±41 BP, UBA-31910)	n/a (female)
950	700-1300 CE	..
950	700-1300 CE	n/a (female)
1469	416-545 calCE (1600±30 BP, BA-443411)	n/a (female)
1017	774-1022 calCE (1111±39 BP, UBA-31906)	n/a (female)
300	1400-1900 CE	n/a (female)
606	1286-1396 calCE (641±25 BP)	..
722	1174-1269 calCE (826±26 BP)	n/a (female)
400	1300-1800 CE	n/a (female)
386	1490-1639 calCE (330±20 BP, PSUAMS-11956)	..
400	1300-1800 CE	..
375	1450-1700 CE	n/a (female)
400	1300-1800 CE	n/a (female)
500	1350-1550 CE	..
602	1302-1400 calCE (610±20 BP, PSUAMS-10006)	..
510	1423-1455 calCE (460±20 BP, PSUAMS-10007)	n/a (female)
400	1300-1800 CE	..
475	1300-1650 CE	n/a (female)
318	1525-1795 calCE (265±20 BP, PSUAMS-10008)	n/a (female)
382	1520-1647 calCE (300±15 BP PSUAMS-11925)	n/a (female)
540	1329-1436 calCE (530±20 BP, PSUAMS-11958)	n/a (female)
400	1300-1800 CE	..
400	1300-1800 CE	n/a (female)
475	1300-1650 CE	n/a (female)
423	1453-1625 calCE (375±20 BP, PSUAMS-10009)	..
400	1300-1800 CE	n/a (female)
467	1448-1615 calCE (395±15 BP, PSUAMS-10010)	n/a (female)
500	1350-1550 CE	n/a (female)
604	1295-1391 calCE (645±15 BP, PSUAMS-11959)	n/a (female)
400	1300-1800 CE	..
475	1300-1650 CE	..
600	1250-1450 CE	..
400	1300-1800 CE	..
400	1300-1800 CE	..
400	1300-1800 CE	n/a (female)
594	1311-1410 calCE (580±20 BP PSUAMS-11908)	n/a (female)
400	1300-1800 CE	n/a (female)
400	1300-1800 CE	..
536	1397-1437 calCE (525±20 BP, PSUAMS-11963)	..
400	1300-1800 CE	..
400	1465-1633 calCE (355±20 BP PSUAMS-11926)	..
400	1300-1800 CE	n/a (female)
400	1300-1800 CE	..
521	1410-1446 calCE (490±20 BP, PSUAMS-10206)	..
475	1300-1650 CE	..
600	1250-1450 CE	n/a (female)
400	1300-1800 CE	..
500	1350-1550 CE	..
375	1450-1700 CE	..
500	1400-1500 CE	..
500	1350-1550 CE	n/a (female)
525	1350-1500 CE	n/a (female)
400	1300-1800 CE	n/a (female)
499	1431-1475 calCE (435±20 BP, PSUAMS-11957)	..
1839	26-207 calCE (1925±29 BP, AA-R-24198)	n/a (female)
1743	126-313 calCE (1836±28 BP, AA-R-24200)	..
648	1270-1384 calCE (703±26 BP, AA-R-24199)	n/a (female)
859	1026-1154 calCE (970±15 BP, UCIAMS-145221)	n/a (female)
1018	885-980 calCE (1130±15 BP, UCIAMS-148198)	n/a (female)
937	993-1031 calCE (1020±15 BP, UCIAMS-145227)	..
934	992-1034 calCE (1015±15 BP, UCIAMS-145226)	..
943	991-1025 calCE (1045±15 BP, UCIAMS-145217)	n/a (female)
334	1521-1797 calCE (269±26 BP, OxA-34348)	..
1159	688-875 calCE (1284±20 BP, MAMS-29775)	n/a (female)
1238	651-773 calCE (1377±20 BP, MAMS-29686)	n/a (female)
1209	680-850 calCE (1306±20 BP, Wk-44199)	..
1204	681-858 calCE (1303±20 BP, MAMS-29688)	..
1260	610-770 calCE [R_combine: 550-670 calCE (1530±20 BP, PSUAMS-1841); 650-780 calCE (1395±15 BP, PSUAMS-2428)]	..
1260	610-770 calCE [R_combine: 550-670 calCE (1530±20 BP, PSUAMS-1841); 650-780 calCE (1395±15 BP, PSUAMS-2428)]	..
1305	580-710 calCE [R_combine: 570-680 calCE (1490±15 BP, PSUAMS-2460); 600-770 calCE (1464±30 BP, Wk-25769)]	..
150	1650-1950 calCE (255±20 BP, PSUAMS-1922)	..
140	1670-1950 calCE (225±20 BP, PSUAMS-1923)	..
140	1690-1930 calCE (135±15 BP, UCIAMS-188792)	..
140	1670-1950 calCE (190±15 BP, UCIAMS-188794)	..
135	1680-1950 calCE (200±20 BP, UCIAMS-188795)	n/a (female)
150	1650-1950 calCE (255±20 BP, PSUAMS-1922)	..
140	1670-1950 calCE (225±20 BP, PSUAMS-1923)	..
215	1520-1950 calCE (305±15 BP, UCIAMS-188793)	n/a (female)
202	1657-1804 calCE (234±19 BP, MAMS-29695)	..
202	1661-1806 calCE (228±20 BP, MAMS-29690)	..
156	1671-1950 calCE (180±20 BP, PSUAMS-5494)	n/a (female)
400	1450-1650 CE	..
400	1450-1650 CE	n/a (female)
387	1502-1643 calCE (350±20 BP, PSUAMS-6698)	..
400	1450-1650 CE	n/a (female)
480	1320-1620 calCE (559±30 BP, Wk-20030)	n/a (female)
219	1641-1950 calCE (223±23 BP, OxA-35074)	n/a (female)
1200	400-1100 CE	..
7250	5350-5250 CE	n/a (female)
1586	261-415 calCE (1692±18 BP) [R_combine: (1714±25 BP, OxA-38000); (1670±25 BP, OxA-38001)]	R1a1a1b2a2b1-F1345
1008	892-993 calCE	R1b1
1787	85-241 calCE	Q1a1b1
579	1308-1435 calCE	..
733	1169-1265 calCE	L1
597	1301-1405 calCE	..
1551	262-537 calCE	n/a (female)
1008	892-992 calCE	n/a (female)
1553	264-531 calCE	n/a (female)
612	1281-1395 calCE	..
1318	85-241 calCE	n/a (female)
939	991-1031 calCE	n/a (female)
939	991-1031 calCE	..
939	991-1031 calCE	n/a (female)
939	991-1031 calCE	..
498	1435-1469 calCE	..
875	993-1157 calCE	..
1089	772-950 calCE	n/a (female)
1620	254-406 calCE	..
1811	70-208 calCE	..
1811	70-208 calCE	..
1651	223-375 calCE	O3ac2
1651	223-375 calCE	..
1651	223-375 calCE	n/a (female)
1651	223-375 calCE	O3ac2
1651	223-375 calCE	..
1651	223-375 calCE	n/a (female)
1780	1-400 CE	O3ac2
1651	223-375 calCE	..
1651	223-375 calCE	..
1789	84-239 calCE	..
1789	84-239 calCE	..
1789	84-239 calCE	n/a (female)
1789	84-239 calCE	..
1789	84-239 calCE	..
1789	84-239 calCE	Q1a2a1c
1275	350-1000 CE [Layer Date: (407-535 calCE (1630±15 BP, UCIAMS-129229/PSU-5665)); (429-546 calCE (1580±20 BP, UCIAMS128464/PSU-5653)); (436-581 calCE (1545±15 BP, UCIAMS-171150)); (441-597 calCE (1532±17 BP, MAMS-39279)); (443-598 calCE (1530±17 BP, MAMS-30277)); (542-604 calCE (1508±20 BP, MAMS-37903)); (543-634 calCE (1502±21 BP, MAMS37904)); (594-650 calCE (1440±20 BP, UCIAMS-128463/PSU-5652)); (607-663 calCE (1395±15 BP, UCIAMS-174148)); (609-664 calCE (1390±15 BP, UCIAMS-171149)); (605-675 calCE (1380±25 BP, UCIAMS-87444/PSU-4675)); (646-671 calCE (1365±15 BP, UCIAMS-173181)); (612-773 calCE (1360±25 BP, UCIAMS-87445/PSU-4676)); (650-773 calCE (1341±17 BP, MAMS-39278)); (673-773 calCE (1281±17 BP, MAMS-39280)); (661-775 calCE (1304±17 BP, MAMS-39281)); (772-951 calCE (1165±15 BP, UCIAMS-129230/PSU-5666))]	O2a2b1a1a6
1275	350-1000 CE [Layer Date: (407-535 calCE (1630±15 BP, UCIAMS-129229/PSU-5665)); (429-546 calCE (1580±20 BP, UCIAMS128464/PSU-5653)); (436-581 calCE (1545±15 BP, UCIAMS-171150)); (441-597 calCE (1532±17 BP, MAMS-39279)); (443-598 calCE (1530±17 BP, MAMS-30277)); (542-604 calCE (1508±20 BP, MAMS-37903)); (543-634 calCE (1502±21 BP, MAMS37904)); (594-650 calCE (1440±20 BP, UCIAMS-128463/PSU-5652)); (607-663 calCE (1395±15 BP, UCIAMS-174148)); (609-664 calCE (1390±15 BP, UCIAMS-171149)); (605-675 calCE (1380±25 BP, UCIAMS-87444/PSU-4675)); (646-671 calCE (1365±15 BP, UCIAMS-173181)); (612-773 calCE (1360±25 BP, UCIAMS-87445/PSU-4676)); (650-773 calCE (1341±17 BP, MAMS-39278)); (673-773 calCE (1281±17 BP, MAMS-39280)); (661-775 calCE (1304±17 BP, MAMS-39281)); (772-951 calCE (1165±15 BP, UCIAMS-129230/PSU-5666))]	O2a2b1a1a6
1275	350-1000 CE [Layer Date: (407-535 calCE (1630±15 BP, UCIAMS-129229/PSU-5665)); (429-546 calCE (1580±20 BP, UCIAMS128464/PSU-5653)); (436-581 calCE (1545±15 BP, UCIAMS-171150)); (441-597 calCE (1532±17 BP, MAMS-39279)); (443-598 calCE (1530±17 BP, MAMS-30277)); (542-604 calCE (1508±20 BP, MAMS-37903)); (543-634 calCE (1502±21 BP, MAMS37904)); (594-650 calCE (1440±20 BP, UCIAMS-128463/PSU-5652)); (607-663 calCE (1395±15 BP, UCIAMS-174148)); (609-664 calCE (1390±15 BP, UCIAMS-171149)); (605-675 calCE (1380±25 BP, UCIAMS-87444/PSU-4675)); (646-671 calCE (1365±15 BP, UCIAMS-173181)); (612-773 calCE (1360±25 BP, UCIAMS-87445/PSU-4676)); (650-773 calCE (1341±17 BP, MAMS-39278)); (673-773 calCE (1281±17 BP, MAMS-39280)); (661-775 calCE (1304±17 BP, MAMS-39281)); (772-951 calCE (1165±15 BP, UCIAMS-129230/PSU-5666))]	O2a2b1a1a6
1275	350-1000 CE [Layer Date: (407-535 calCE (1630±15 BP, UCIAMS-129229/PSU-5665)); (429-546 calCE (1580±20 BP, UCIAMS128464/PSU-5653)); (436-581 calCE (1545±15 BP, UCIAMS-171150)); (441-597 calCE (1532±17 BP, MAMS-39279)); (443-598 calCE (1530±17 BP, MAMS-30277)); (542-604 calCE (1508±20 BP, MAMS-37903)); (543-634 calCE (1502±21 BP, MAMS37904)); (594-650 calCE (1440±20 BP, UCIAMS-128463/PSU-5652)); (607-663 calCE (1395±15 BP, UCIAMS-174148)); (609-664 calCE (1390±15 BP, UCIAMS-171149)); (605-675 calCE (1380±25 BP, UCIAMS-87444/PSU-4675)); (646-671 calCE (1365±15 BP, UCIAMS-173181)); (612-773 calCE (1360±25 BP, UCIAMS-87445/PSU-4676)); (650-773 calCE (1341±17 BP, MAMS-39278)); (673-773 calCE (1281±17 BP, MAMS-39280)); (661-775 calCE (1304±17 BP, MAMS-39281)); (772-951 calCE (1165±15 BP, UCIAMS-129230/PSU-5666))]	n/a (female)
1275	350-1000 CE [Layer Date: (407-535 calCE (1630±15 BP, UCIAMS-129229/PSU-5665)); (429-546 calCE (1580±20 BP, UCIAMS128464/PSU-5653)); (436-581 calCE (1545±15 BP, UCIAMS-171150)); (441-597 calCE (1532±17 BP, MAMS-39279)); (443-598 calCE (1530±17 BP, MAMS-30277)); (542-604 calCE (1508±20 BP, MAMS-37903)); (543-634 calCE (1502±21 BP, MAMS37904)); (594-650 calCE (1440±20 BP, UCIAMS-128463/PSU-5652)); (607-663 calCE (1395±15 BP, UCIAMS-174148)); (609-664 calCE (1390±15 BP, UCIAMS-171149)); (605-675 calCE (1380±25 BP, UCIAMS-87444/PSU-4675)); (646-671 calCE (1365±15 BP, UCIAMS-173181)); (612-773 calCE (1360±25 BP, UCIAMS-87445/PSU-4676)); (650-773 calCE (1341±17 BP, MAMS-39278)); (673-773 calCE (1281±17 BP, MAMS-39280)); (661-775 calCE (1304±17 BP, MAMS-39281)); (772-951 calCE (1165±15 BP, UCIAMS-129230/PSU-5666))]	..
1275	350-1000 CE [Layer Date: (407-535 calCE (1630±15 BP, UCIAMS-129229/PSU-5665)); (429-546 calCE (1580±20 BP, UCIAMS128464/PSU-5653)); (436-581 calCE (1545±15 BP, UCIAMS-171150)); (441-597 calCE (1532±17 BP, MAMS-39279)); (443-598 calCE (1530±17 BP, MAMS-30277)); (542-604 calCE (1508±20 BP, MAMS-37903)); (543-634 calCE (1502±21 BP, MAMS37904)); (594-650 calCE (1440±20 BP, UCIAMS-128463/PSU-5652)); (607-663 calCE (1395±15 BP, UCIAMS-174148)); (609-664 calCE (1390±15 BP, UCIAMS-171149)); (605-675 calCE (1380±25 BP, UCIAMS-87444/PSU-4675)); (646-671 calCE (1365±15 BP, UCIAMS-173181)); (612-773 calCE (1360±25 BP, UCIAMS-87445/PSU-4676)); (650-773 calCE (1341±17 BP, MAMS-39278)); (673-773 calCE (1281±17 BP, MAMS-39280)); (661-775 calCE (1304±17 BP, MAMS-39281)); (772-951 calCE (1165±15 BP, UCIAMS-129230/PSU-5666))]	n/a (female)
1275	350-1000 CE [Layer Date: (407-535 calCE (1630±15 BP, UCIAMS-129229/PSU-5665)); (429-546 calCE (1580±20 BP, UCIAMS128464/PSU-5653)); (436-581 calCE (1545±15 BP, UCIAMS-171150)); (441-597 calCE (1532±17 BP, MAMS-39279)); (443-598 calCE (1530±17 BP, MAMS-30277)); (542-604 calCE (1508±20 BP, MAMS-37903)); (543-634 calCE (1502±21 BP, MAMS37904)); (594-650 calCE (1440±20 BP, UCIAMS-128463/PSU-5652)); (607-663 calCE (1395±15 BP, UCIAMS-174148)); (609-664 calCE (1390±15 BP, UCIAMS-171149)); (605-675 calCE (1380±25 BP, UCIAMS-87444/PSU-4675)); (646-671 calCE (1365±15 BP, UCIAMS-173181)); (612-773 calCE (1360±25 BP, UCIAMS-87445/PSU-4676)); (650-773 calCE (1341±17 BP, MAMS-39278)); (673-773 calCE (1281±17 BP, MAMS-39280)); (661-775 calCE (1304±17 BP, MAMS-39281)); (772-951 calCE (1165±15 BP, UCIAMS-129230/PSU-5666))]	n/a (female)
1275	350-1000 CE [Layer Date: (407-535 calCE (1630±15 BP, UCIAMS-129229/PSU-5665)); (429-546 calCE (1580±20 BP, UCIAMS128464/PSU-5653)); (436-581 calCE (1545±15 BP, UCIAMS-171150)); (441-597 calCE (1532±17 BP, MAMS-39279)); (443-598 calCE (1530±17 BP, MAMS-30277)); (542-604 calCE (1508±20 BP, MAMS-37903)); (543-634 calCE (1502±21 BP, MAMS37904)); (594-650 calCE (1440±20 BP, UCIAMS-128463/PSU-5652)); (607-663 calCE (1395±15 BP, UCIAMS-174148)); (609-664 calCE (1390±15 BP, UCIAMS-171149)); (605-675 calCE (1380±25 BP, UCIAMS-87444/PSU-4675)); (646-671 calCE (1365±15 BP, UCIAMS-173181)); (612-773 calCE (1360±25 BP, UCIAMS-87445/PSU-4676)); (650-773 calCE (1341±17 BP, MAMS-39278)); (673-773 calCE (1281±17 BP, MAMS-39280)); (661-775 calCE (1304±17 BP, MAMS-39281)); (772-951 calCE (1165±15 BP, UCIAMS-129230/PSU-5666))]	n/a (female)
1275	350-1000 CE [Layer Date: (407-535 calCE (1630±15 BP, UCIAMS-129229/PSU-5665)); (429-546 calCE (1580±20 BP, UCIAMS128464/PSU-5653)); (436-581 calCE (1545±15 BP, UCIAMS-171150)); (441-597 calCE (1532±17 BP, MAMS-39279)); (443-598 calCE (1530±17 BP, MAMS-30277)); (542-604 calCE (1508±20 BP, MAMS-37903)); (543-634 calCE (1502±21 BP, MAMS37904)); (594-650 calCE (1440±20 BP, UCIAMS-128463/PSU-5652)); (607-663 calCE (1395±15 BP, UCIAMS-174148)); (609-664 calCE (1390±15 BP, UCIAMS-171149)); (605-675 calCE (1380±25 BP, UCIAMS-87444/PSU-4675)); (646-671 calCE (1365±15 BP, UCIAMS-173181)); (612-773 calCE (1360±25 BP, UCIAMS-87445/PSU-4676)); (650-773 calCE (1341±17 BP, MAMS-39278)); (673-773 calCE (1281±17 BP, MAMS-39280)); (661-775 calCE (1304±17 BP, MAMS-39281)); (772-951 calCE (1165±15 BP, UCIAMS-129230/PSU-5666))]	O
1046	771-986 calCE (1201±19 BP, Wk-50225)	n/a (female)
422	1455-1623 calCE (407±17 BP, Wk-50226)	Q1b1a1a1i
388	1499-1632 calCE (366±14 BP, Wk-50224)	n/a (female)
614	1285-1387 calCE (714±20 BP, Wk-49176)	n/a (female)
1025	773-989 calCE (1186±22 BP, Wk-49169)	Q1b1a1a1
1021	778-989 calCE (1183±21 BP, Wk-49170)	Q1b1a1a1w
1660	211-365 calCE (1800±30 BP, Poz-84949)	n/a (female)
853	1030-1150 calCE (995 ±17 BP, Wk-50231)	n/a (female)
935	990-1129 calCE (1064±20 BP, Wk-49171)	Q1b1
455	1435-1620 calCE (450±30 BP, Poz-84950)	Q1b1a1a1i
539	1393-1439 calCE (575±21 BP, Wk-49172)	n/a (female)
1010	893-990 calCE (1158±20 BP, Wk-49173)	n/a (female)
1227	670-774 calCE (1283±21 BP) [R_combine: (1267±28 BP, Poz-123574); (1300±29 BP, Poz-123630)]	..
966	901-1024 calCE (1109±20 BP, Wk-49174)	n/a (female)
914	991-1047 calCE (1003±19 BP) [R_combine: (993±27 BP, Poz-123576); (1012±26 BP, Poz-123631)]	n/a (female)
1223	675-831 calCE (1322±21 BP, Wk-49175)	n/a (female)
1017	885-987 calCE (1184±14 BP, Wk-50229)	Q1b1a
150	1650-1950 calCE	..
142	1666-1950 calCE	..
143	1664-1950 calCE	..
1227	668-774 calCE (1285±23BP, UBA-45181)	..
870	995-1156 calCE (984±25BP, UBA-45176)	..
612	1338-1339CE	n/a(Female)
612	1338-1339CE	Q1a2a1c
657	1271-1378 calCE (708±21BP, MAMS-52864)	n/a(Female)
647	1267-1340 CE	R1b1a2
647	1267-1340 CE	n/a(Female)
654	1248-1345 CE	n/a(SexUnknown)
652	1274-1379 calCE (701±20BP, MAMS-52865)	n/a(SexUnknown)
1233	666-768 calCE (1294±18calBP, wk-46474)	J
1235	665-766 calCE (1302±15calBP, wk-46475)	..
1800	1-300 CE	..
1800	1-300 CE	..
1800	1-300 CE	..
1800	1-300 CE	..
1800	1-300 CE	..
604	1297-1397 calCE (604±28BP)	..
1311	474-774 calCE (1450±70BP, URU-0191)	..
1871	79 CE	..
1381	441-641 calCE (1508±30 BP; SUERC-70721)	..
1844	25-205 calCE (1928±29 BP) [R_combine: (1965±40 BP; SUERC-14946), (1890±40 BP; SUERC-14946)]	..
1825	1-250 CE	..
1826	25-215 calCE (1915±35 BP; SUERC-8410)	..
1642	236-402 calCE (1755±35 BP; SUERC-10745)	..
857	1025-1156 calCE (968±20 BP; MAMS-38994/Otago-1046)	..
1824	30-210 calCE (1915±27 BP; OxA-35201)	..
199	1646-1950 calCE (211±24 BP; MAMS-34585/Otago-1047)	..
386	1490-1641 calCE (324±24 BP; MAMS-34586)	..
669	1267-1296 calCE (726±19 BP; MAMS-40602/Otago-590)	..
675	1250-1300 CE	..
757	1158-1228 calCE (861±20 BP; MAMS-40606/Otago-587)	..
509	1425-1456 calCE (457±19 BP; MAMS-40607/Otago-140)	..
800	1000-1300 CE	..
1550	250-550 CE	..
1526	262-537 calCE (1650±30 BP)	..
1550	250-550 CE	..
1489	382-541 calCE (1630±30 BP)	..
1372	484-644 calCE (1500±30 BP)	..
1426	433-598 calCE (1540±30 BP)	..
1372	484-644 calCE (1500±30 BP)	..
1327	584-658 calCE (1430±30 BP)	..
1384	440-640 calCE (1510±30 BP)	..
227	1530-1950 calCE (230±30 BP)	..
445	1437-1625 calCE (400±30 BP)	..
386	1484-1644 calCE (320±30 BP)	..
400	1400-1700 CE	..
400	1400-1700 CE	..
393	1474-1638 calCE (340±30 BP)	..
433	1442-1631 calCE (390±30 BP)	..
400	1400-1700 CE	..
378	1495-1656 calCE (300±30 BP)	..
405	1456-1635 calCE (360±30 BP)	..
1372	484-644 calCE (1500±30 BP)	..
1465	419-548 calCE (1590±30 BP)	..
1439	431-587 calCE (1550±30 BP)	..
1479	406-543 calCE (1620±30 BP)	..
1308	601-673 calCE (1390±30 BP)	..
400	1400-1700 CE	..
1372	484-644 calCE (1500±30 BP)	..
1750	1-400 CE	..
1750	1-400 CE	..
1925	1-50 CE	..
1742	131-243 calCE (1840±15 BP, UCIAMS-237603)	..
1500	200-700 CE	..
1465	431-545 calCE (1580±15 BP, UCIAMS-235934)	..
1732	129-310 calCE (1830±20 BP, UCIAMS-237809)	..
1800	79-213 calCE (1900±20 BP, UCIAMS-237806)	..
604	1297-1395 calCE (630±15 BP, UCIAMS-235956)	..
1668	229-329 calCE (1790±15 BP, UCIAMS-237602)	..
1587	261-413 calCE (1695±15 BP, UCIAMS-235957)	..
1780	124-217 calCE (1875±15 BP, UCIAMS-235912)	..
1735	131-245 calCE (1835±15 BP, UCIAMS-235893)	..
1525	250-600 CE	..
1587	261-413 calCE (1695±15 BP, UCIAMS-235890)	..
1000	500-1400 CE	..
1000	500-1400 CE	..
1836	63-204 calCE (1920±15 BP, UCIAMS-235947)	..
1798	81-210 calCE (1900±15 BP, UCIAMS-235948)	..
1475	400-550 CE	..
613	1275-1400 CE	..
1465	431-545 calCE (1580±15 BP, UCIAMS-235887)	..
1800	100-200 CE	..
1500	300-600 CE	..
1750	1-400 CE	..
1750	1-400 CE	..
1628	252-402 calCE (1730±15 BP, UCIAMS-237811)	..
1650	242-350 calCE (1755±15 BP, UCIAMS-237812)	..
1647	245-361 calCE (1750±15 BP, UCIAMS-237591)	..
1628	252-402 calCE (1730±15 BP, UCIAMS-237590)	..
1550	200-600 CE	..
1209	680-827 calCE (1250±15 BP, UCIAMS-235906)	..
1668	229-329 calCE (1790±15 BP, UCIAMS-237566)	..
1639	248-378 calCE (1740±15 BP, UCIAMS-237589)	..
1401	441-593 calCE (1535±15 BP, UCIAMS-237788)	..
1525	250-600 CE	..
960	900-1024 calCE (1065±15 BP, UCIAMS-237785)	..
850	1041-1162 calCE (930±15 BP, UCIAMS-237786)	..
1180	686-876 calCE (1240±15 BP, UCIAMS-235913)	..
1218	679-823 calCE (1255±15 BP, UCIAMS-235914)	..
1775	100-250 CE	..
391	1479-1634 calCE (345±15 BP, UCIAMS-235897)	..
1789	88-212 calCE (1890±15 BP, UCIAMS-235938)	..
1798	81-210 calCE (1900±15 BP, UCIAMS-237599)	..
1800	50-250 CE	..
1550	200-600 CE	..
1550	200-600 CE	..
1450	434-565 calCE (1560±15 BP, UCIAMS-237594)	..
1773	127-227 calCE (1865±15 BP, UCIAMS-237597)	..
1863	26-126 calCE (1940±15 BP, UCIAMS-237559)	..
1725	1-450 CE	..
1622	255-402 calCE (1725±15 BP, UCIAMS-237604)	..
1625	200-450 CE	..
1327	599-648 calCE (1440±15 BP, UCIAMS-235943)	..
892	996-1150 calCE (990±15 BP, UCIAMS-237784)	..
1863	26-126 calCE (1940±15 BP, UCIAMS-235950)	..
1725	1-450 CE	..
1880	22-121 calCE (1955±15 BP, UCIAMS-237595)	..
1773	127-227 calCE (1865±15 BP, UCIAMS-237596)	..
1465	431-545 calCE (1580±15 BP, UCIAMS-237825)	..
1468	421-538 calCE (1600±15 BP, UCIAMS-237826)	..
1525	250-600 CE	..
1525	250-600 CE	..
728	1176-1264 calCE (835±15 BP, UCIAMS-235903)	..
1279	650-759 calCE (1345±15 BP, UCIAMS-235935)	..
1525	250-450 CE	..
1119	782-881 calCE (1205±15 BP, UCIAMS-237789)	..
1609	257-404 calCE (1715±15 BP, UCIAMS-235916)	..
1675	100-450 CE	..
1438	400-625 CE	..
1374	549-600 calCE (1505±15 BP, UCIAMS-237563)	..
1598	259-409 calCE (1705±15 BP, UCIAMS-235894)	..
1675	100-450 CE	..
1655	241-341 calCE (1765±15 BP, UCIAMS-237813)	..
1639	248-378 calCE (1740±15 BP, UCIAMS-237816)	..
1789	88-212 calCE (1890±15 BP, UCIAMS-237805)	..
1616	255-405 calCE (1720±15 BP, UCIAMS-237798)	..
1622	255-402 calCE (1725±15 BP, UCIAMS-237828)	..
1587	261-413 calCE (1695±15 BP, UCIAMS-235905)	..
1500	300-600 CE	..
1650	200-400 CE	..
1675	100-450 CE	..
1675	100-450 CE	..
1795	80-215 calCE (1895±20 BP, UCIAMS-237804)	..
1769	129-230 calCE (1860±15 BP, UCIAMS-237808)	..
1777	125-220 calCE (1870±15 BP, UCIAMS-237782)	..
1798	81-210 calCE (1900±15 BP, UCIAMS-237783)	..
1609	257-404 calCE (1715±15 BP, UCIAMS-237817)	..
1659	238-333 calCE (1775±15 BP, UCIAMS-237827)	..
1609	257-404 calCE (1715±15 BP, UCIAMS-237601)	..
1547	266-430 calCE (1660±15 BP, UCIAMS-235900)	..
388	1481-1635 calCE (340±15 BP, UCIAMS-237800)	..
1500	200-700 CE	..
1500	200-700 CE	..
1500	200-700 CE	..
1500	200-700 CE	..
1466	431-542 calCE (1585±15 BP, UCIAMS-235959)	..
1381	545-597 calCE (1515±15 BP, UCIAMS-237564)	..
1653	242-346 calCE (1760±15 BP, UCIAMS-237793)	..
1675	100-450 CE	..
1675	100-450 CE	..
1825	1-250 CE	..
1825	1-250 CE	..
1475	400-550 CE	..
1475	400-550 CE	..
1581	262-415 calCE (1690±15 BP, UCIAMS-235936)	..
1750	1-400 CE	..
1639	248-378 calCE (1740±15 BP, UCIAMS-237794)	..
1763	129-234 calCE (1855±15 BP, UCIAMS-237795)	..
1836	63-204 calCE (1920±15 BP, UCIAMS-237810)	..
1340	577-642 calCE (1465±15 BP, UCIAMS-235942)	..
1235	660-774 calCE (1315±15 BP, UCIAMS-237560)	..
1241	657-774 calCE (1320±15 BP, UCIAMS-237561)	..
1750	1-400 CE	..
1750	1-400 CE	..
864	1025-1152 calCE (975±15 BP, UCIAMS-235937)	..
1616	255-405 calCE (1720±15 BP, UCIAMS-237562)	..
1750	1-400 CE	..
1750	1-400 CE	..
1512	402-533 calCE (1640±15 BP, UCIAMS-235919)	..
1475	400-550 CE	..
1371	550-603 calCE (1500±15 BP, UCIAMS-235951)	..
1475	400-550 CE	..
1463	432-547 calCE (1575±15 BP, UCIAMS-235888)	..
465	1480-1490 CE	..
1780	124-217 calCE (1875±15 BP, UCIAMS-237592)	..
1785	120-215 calCE (1885±15 BP, UCIAMS-237593)	..
1178	682-878 calCE (1240±20 BP, UCIAMS-237790)	..
1116	774-884 calCE (1200±15 BP, UCIAMS-235958)	..
1863	26-126 calCE (1940±15 BP, UCIAMS-237797)	..
404	1461-1630 calCE (360±15 BP, UCIAMS-235939)	..
1609	257-404 calCE (1715±15 BP, UCIAMS-237796)	..
1625	200-450 CE	..
1500	200-700 CE	..
1500	200-700 CE	..
1133	709-880 calCE (1220±15 BP, UCIAMS-235904)	..
1699	211-320 calCE (1810±15 BP, UCIAMS-235920)	..
1431	435-575 calCE (1550±15 BP, UCIAMS-235945)	..
1450	434-565 calCE (1560±15 BP, UCIAMS-235944)	..
1475	400-550 CE	..
1512	402-533 calCE (1640±15 BP, UCIAMS-235960)	..
904	993-1149 calCE (995±15 BP, UCIAMS-235899)	..
1769	129-230 calCE (1860±15 BP, UCIAMS-237807)	..
1729	133-306 calCE (1830±15 BP, UCIAMS-237567)	..
1668	229-329 calCE (1790±15 BP, UCIAMS-237565)	..
1461	432-551 calCE (1570±15 BP, UCIAMS-235915)	..
